Query,True EC,Predicted EC,Exact Match,First Number Match,First Number
Q9B6D6,['1.6.5.3'],No EC number found,False,False,No EC number found
Q4FTN4,['6.3.4.20'],No EC number found,False,False,No EC number found
P08075,['2.7.7.24'],No EC number found,False,False,No EC number found
Q9KF10,['2.1.1.-'],No EC number found,False,False,No EC number found
Q4FNG0,['2.1.2.9'],No EC number found,False,False,No EC number found
B2UND0,['6.3.2.1'],No EC number found,False,False,No EC number found
P74211,['1.4.3.5'],No EC number found,False,False,No EC number found
A1TW93,['4.1.1.23'],No EC number found,False,False,No EC number found
A8ET36,['4.1.1.48'],No EC number found,False,False,No EC number found
Q96PD5,['3.5.1.28'],No EC number found,False,False,No EC number found
Q493S1,['1.17.7.4'],No EC number found,False,False,No EC number found
Q8U1E6,['2.1.1.-'],No EC number found,False,False,No EC number found
P14920,['1.4.3.3'],No EC number found,False,False,No EC number found
P61779,['2.4.2.-'],No EC number found,False,False,No EC number found
P17948,['2.7.10.1'],No EC number found,False,False,No EC number found
A4XBI0,['5.1.1.1'],No EC number found,False,False,No EC number found
Q3IPL1,['2.5.1.81'],No EC number found,False,False,No EC number found
Q26696,['3.6.4.13'],No EC number found,False,False,No EC number found
Q6LYP1,['2.7.7.72'],2.7.7.72,True,True,2
B3PEB5,['3.5.4.13'],No EC number found,False,False,No EC number found
Q54I36,['2.7.12.1'],No EC number found,False,False,No EC number found
Q4JXP1,['6.3.2.2'],No EC number found,False,False,No EC number found
O42873,['4.1.1.1'],No EC number found,False,False,No EC number found
A9AJ18,['6.3.2.9'],No EC number found,False,False,No EC number found
Q5WGS7,['4.2.3.4'],No EC number found,False,False,No EC number found
O24924,['4.2.3.1'],No EC number found,False,False,No EC number found
P42170,['1.17.4.1'],No EC number found,False,False,No EC number found
Q10176,['2.4.99.18'],No EC number found,False,False,No EC number found
P34699,['2.7.7.7'],No EC number found,False,False,No EC number found
H2K887,['4.2.3.152'],No EC number found,False,False,No EC number found
Q54W16,['3.1.4.-'],3.1.4.-,True,True,3
A3QJS0,['2.1.1.170'],No EC number found,False,False,No EC number found
Q92203,['2.7.1.25'],No EC number found,False,False,No EC number found
Q6KHU4,['3.1.-.-'],No EC number found,False,False,No EC number found
Q1K9C2,['1.8.1.2'],No EC number found,False,False,No EC number found
Q31E66,['2.4.2.-'],No EC number found,False,False,No EC number found
Q6MK42,['2.7.9.3'],No EC number found,False,False,No EC number found
O31526,['4.2.2.23'],No EC number found,False,False,No EC number found
O58762,['2.4.1.245'],No EC number found,False,False,No EC number found
Q8RCP4,['6.3.5.11'],No EC number found,False,False,No EC number found
P45523,['5.2.1.8'],No EC number found,False,False,No EC number found
Q3IYX7,['2.7.8.5'],No EC number found,False,False,No EC number found
Q8RE57,['6.1.1.10'],No EC number found,False,False,No EC number found
Q09524,['5.4.99.-'],No EC number found,False,False,No EC number found
Q9BV86,['2.1.1.244'],No EC number found,False,False,No EC number found
A3Q537,['1.6.5.11'],No EC number found,False,False,No EC number found
O28732,['6.2.1.5'],No EC number found,False,False,No EC number found
P35172,['3.2.1.28'],No EC number found,False,False,No EC number found
Q9C449,['1.-.-.-'],No EC number found,False,False,No EC number found
Q32RG2,['2.7.7.6'],2.7.7.6,True,True,2
O34993,['2.3.1.-'],No EC number found,False,False,No EC number found
Q90XG0,['5.3.1.1'],No EC number found,False,False,No EC number found
A4IHS0,['2.1.1.-'],No EC number found,False,False,No EC number found
P37030,['2.8.1.7'],No EC number found,False,False,No EC number found
Q5LLW6,['4.2.1.155'],No EC number found,False,False,No EC number found
Q12UL5,['5.4.2.12'],No EC number found,False,False,No EC number found
Q9CVD2,['3.4.19.12'],No EC number found,False,False,No EC number found
O94544,['3.3.2.6'],No EC number found,False,False,No EC number found
Q92LA8,['3.6.1.-'],No EC number found,False,False,No EC number found
Q39193,['2.7.11.1'],No EC number found,False,False,No EC number found
Q7UWB5,['3.1.11.6'],No EC number found,False,False,No EC number found
D4GPU8,['4.1.1.97'],No EC number found,False,False,No EC number found
Q9CHW5,['2.6.1.52'],No EC number found,False,False,No EC number found
P37009,['3.6.3.30'],No EC number found,False,False,No EC number found
Q53GL7,['2.4.2.30'],No EC number found,False,False,No EC number found
Q9SA77,['5.1.3.5'],No EC number found,False,False,No EC number found
Q1IPL8,['6.-.-.-'],No EC number found,False,False,No EC number found
Q5AWA6,['3.6.4.13'],No EC number found,False,False,No EC number found
B0TZJ5,['1.4.4.2'],No EC number found,False,False,No EC number found
P40318,['2.3.2.27'],No EC number found,False,False,No EC number found
Q4WAZ6,['1.-.-.-'],No EC number found,False,False,No EC number found
Q6MSR0,['6.1.1.4'],No EC number found,False,False,No EC number found
Q5ZT56,['1.1.1.94'],No EC number found,False,False,No EC number found
P38122,['2.1.2.11'],No EC number found,False,False,No EC number found
Q9Y804,['3.1.4.1'],3.1.4.1,True,True,3
B6JYB6,['6.3.5.-'],6.3.5.-,True,True,6
Q4F8I0,['1.2.1.10'],No EC number found,False,False,No EC number found
P30663,['2.7.13.3'],No EC number found,False,False,No EC number found
Q1LTI8,['6.1.1.19'],No EC number found,False,False,No EC number found
P28350,['6.1.1.9'],No EC number found,False,False,No EC number found
D4GV73,['5.3.1.29'],No EC number found,False,False,No EC number found
Q4RSW7,['6.3.5.-'],No EC number found,False,False,No EC number found
Q5JE15,['1.2.7.5'],No EC number found,False,False,No EC number found
Q74ED9,['2.4.1.21'],No EC number found,False,False,No EC number found
Q2JLX1,['2.7.1.24'],No EC number found,False,False,No EC number found
Q8C460,['3.1.-.-'],No EC number found,False,False,No EC number found
P54604,['5.4.99.-'],No EC number found,False,False,No EC number found
O27900,['5.3.1.23'],No EC number found,False,False,No EC number found
P38324,['3.1.-.-'],No EC number found,False,False,No EC number found
Q31GV5,['2.9.1.-'],No EC number found,False,False,No EC number found
Q3Z6G5,['4.1.1.48'],No EC number found,False,False,No EC number found
F4ISQ7,['5.99.1.2'],No EC number found,False,False,No EC number found
Q9KVQ4,['2.7.-.-'],No EC number found,False,False,No EC number found
O34926,['1.14.15.13'],No EC number found,False,False,No EC number found
Q73NQ7,['5.1.1.1'],No EC number found,False,False,No EC number found
Q980V1,['3.1.1.29'],No EC number found,False,False,No EC number found
Q8VXY9,['3.5.1.116'],No EC number found,False,False,No EC number found
Q601U7,['5.4.99.25'],No EC number found,False,False,No EC number found
Q13164,['2.7.11.24'],No EC number found,False,False,No EC number found
P93028,['6.2.1.45'],No EC number found,False,False,No EC number found
Q1GP77,['1.1.1.25'],No EC number found,False,False,No EC number found
A1QYK3,['3.2.2.27'],No EC number found,False,False,No EC number found
P26646,['1.3.1.84'],No EC number found,False,False,No EC number found
Q82IY8,['1.14.13.171'],No EC number found,False,False,No EC number found
P34848,['1.6.5.3'],No EC number found,False,False,No EC number found
Q85228,['2.7.7.-'],No EC number found,False,False,No EC number found
Q39012,['2.7.11.1'],No EC number found,False,False,No EC number found
Q8BZA9,['3.1.3.46'],No EC number found,False,False,No EC number found
Q52915,['4.6.1.1'],No EC number found,False,False,No EC number found
Q8R9C7,['6.1.1.20'],No EC number found,False,False,No EC number found
Q8BG87,['1.14.11.n2'],No EC number found,False,False,No EC number found
Q7V498,['3.1.-.-'],No EC number found,False,False,No EC number found
Q3Z9B3,['3.6.4.12'],No EC number found,False,False,No EC number found
O83051,['5.99.1.3'],No EC number found,False,False,No EC number found
A4XKA6,['2.1.1.-'],No EC number found,False,False,No EC number found
Q89A28,['1.18.1.2'],No EC number found,False,False,No EC number found
B8GZ34,['3.1.26.4'],No EC number found,False,False,No EC number found
O13861,['6.1.-.-'],No EC number found,False,False,No EC number found
Q9ZD46,['5.4.99.25'],No EC number found,False,False,No EC number found
Q93R93,['2.6.1.-'],No EC number found,False,False,No EC number found
Q8JGM4,['1.8.3.2'],No EC number found,False,False,No EC number found
Q55214,['2.1.1.288'],No EC number found,False,False,No EC number found
A7NJ53,['3.1.26.5'],No EC number found,False,False,No EC number found
O48715,['2.4.1.-'],No EC number found,False,False,No EC number found
F4I8K2,['3.4.21.-'],No EC number found,False,False,No EC number found
Q0WRJ2,['1.1.1.102'],No EC number found,False,False,No EC number found
Q13882,['2.7.10.2'],No EC number found,False,False,No EC number found
Q9RNP3,['1.4.3.5'],No EC number found,False,False,No EC number found
Q6LPQ4,['2.7.1.50'],No EC number found,False,False,No EC number found
Q72NI2,['2.7.4.3'],No EC number found,False,False,No EC number found
Q8D337,['3.1.-.-'],No EC number found,False,False,No EC number found
Q8Y081,['3.6.1.54'],No EC number found,False,False,No EC number found
Q07540,['1.16.3.1'],No EC number found,False,False,No EC number found
P52209,['1.1.1.44'],No EC number found,False,False,No EC number found
Q2VWQ3,['2.7.11.1'],No EC number found,False,False,No EC number found
Q970U8,['6.3.5.5'],No EC number found,False,False,No EC number found
Q8ZEB6,['4.2.1.2'],No EC number found,False,False,No EC number found
A5IZB9,['2.1.1.33'],No EC number found,False,False,No EC number found
Q88ZH4,['3.6.3.40'],No EC number found,False,False,No EC number found
Q1LC89,['3.6.3.-'],No EC number found,False,False,No EC number found
Q59000,['5.3.1.9'],5.3.1.9,True,True,5
Q8A7Z4,['2.4.2.-'],No EC number found,False,False,No EC number found
P21881,['1.2.4.1'],No EC number found,False,False,No EC number found
Q2NEU9,['6.1.1.11'],No EC number found,False,False,No EC number found
Q90ZY4,['2.7.11.1'],No EC number found,False,False,No EC number found
Q55DL1,['3.4.17.-'],3.4.17.-,True,True,3
Q15N09,['3.1.1.85'],No EC number found,False,False,No EC number found
A1SRN6,['2.9.1.-'],No EC number found,False,False,No EC number found
Q9NR20,['2.7.12.1'],No EC number found,False,False,No EC number found
Q746I8,['5.3.3.2'],No EC number found,False,False,No EC number found
Q988B7,['1.1.1.107'],No EC number found,False,False,No EC number found
Q95ZS2,['4.1.1.25'],No EC number found,False,False,No EC number found
O34696,['2.-.-.-'],No EC number found,False,False,No EC number found
C5BNN2,['2.1.1.177'],No EC number found,False,False,No EC number found
Q5JE88,['2.7.7.6'],No EC number found,False,False,No EC number found
Q8NK50,['1.1.1.138'],No EC number found,False,False,No EC number found
Q8U2I1,['2.4.2.1'],No EC number found,False,False,No EC number found
O27726,['2.7.8.39'],No EC number found,False,False,No EC number found
Q8Y7S7,['2.1.1.195'],No EC number found,False,False,No EC number found
Q96YZ3,['2.7.1.165'],No EC number found,False,False,No EC number found
Q99R73,['1.14.99.44'],No EC number found,False,False,No EC number found
B8I944,['5.1.3.30'],No EC number found,False,False,No EC number found
O67328,['5.3.1.16'],No EC number found,False,False,No EC number found
A5D1C3,['2.7.7.6'],No EC number found,False,False,No EC number found
Q8RDQ2,['6.3.2.8'],No EC number found,False,False,No EC number found
Q0BWB0,['2.1.1.170'],No EC number found,False,False,No EC number found
Q9UQL6,['3.5.1.98'],No EC number found,False,False,No EC number found
Q59005,['3.2.1.-'],No EC number found,False,False,No EC number found
A5FJD0,['2.5.1.-'],No EC number found,False,False,No EC number found
A3MYW5,['2.7.2.8'],No EC number found,False,False,No EC number found
B1GZC1,['5.3.1.24'],No EC number found,False,False,No EC number found
Q9X3X5,['3.6.1.23'],No EC number found,False,False,No EC number found
Q8D2J1,['4.1.1.23'],No EC number found,False,False,No EC number found
B9JBE6,['2.1.1.144'],No EC number found,False,False,No EC number found
A5CDM0,['2.7.8.7'],No EC number found,False,False,No EC number found
P51160,['3.1.4.35'],No EC number found,False,False,No EC number found
Q6A8B2,['2.7.1.39'],No EC number found,False,False,No EC number found
Q54V35,['2.7.11.1'],2.7.11.24,False,True,2
Q4A5S9,['5.3.1.9'],No EC number found,False,False,No EC number found
Q8GWA1,['1.6.5.9'],No EC number found,False,False,No EC number found
Q8KHE4,['4.3.3.5'],No EC number found,False,False,No EC number found
A2QR20,['3.6.5.-'],No EC number found,False,False,No EC number found
Q5UXG8,['2.7.4.3'],No EC number found,False,False,No EC number found
P63590,['4.2.1.10'],No EC number found,False,False,No EC number found
Q05591,['1.3.1.106'],No EC number found,False,False,No EC number found
O52377,['4.2.1.10'],No EC number found,False,False,No EC number found
Q9UU96,['2.7.1.-'],2.4.1.83,False,True,2
Q8TNI1,['2.6.1.52'],No EC number found,False,False,No EC number found
Q6CRJ8,['3.4.-.-'],3.4.-.-,True,True,3
Q8KBY3,['2.7.7.8'],No EC number found,False,False,No EC number found
Q5ACV9,['1.15.1.1'],No EC number found,False,False,No EC number found
Q43157,['5.1.3.1'],No EC number found,False,False,No EC number found
Q7UKV0,['3.1.1.29'],No EC number found,False,False,No EC number found
B7IFS1,['3.6.1.27'],No EC number found,False,False,No EC number found
P9WPJ6,['4.2.1.1'],No EC number found,False,False,No EC number found
P17556,['1.4.1.1'],No EC number found,False,False,No EC number found
A3QJS0,['2.1.1.170'],No EC number found,False,False,No EC number found
Q0A6K1,['2.4.1.129'],No EC number found,False,False,No EC number found
Q3Z7U5,['5.4.99.25'],No EC number found,False,False,No EC number found
P40999,['2.1.1.204'],2.1.1.204,True,True,2
O32272,['2.4.-.-'],No EC number found,False,False,No EC number found
P45523,['5.2.1.8'],No EC number found,False,False,No EC number found
Q8CFG0,['3.1.6.-'],No EC number found,False,False,No EC number found
P72235,['5.4.99.16'],No EC number found,False,False,No EC number found
Q6G3F0,['6.3.5.-'],No EC number found,False,False,No EC number found
F1SVE0,['1.12.98.3'],No EC number found,False,False,No EC number found
P9WPJ6,['4.2.1.1'],No EC number found,False,False,No EC number found
A7NS27,['4.1.1.23'],No EC number found,False,False,No EC number found
Q58469,['2.4.-.-'],No EC number found,False,False,No EC number found
Q8Y3P9,['1.11.1.6'],No EC number found,False,False,No EC number found
A8G3K7,['4.2.1.96'],No EC number found,False,False,No EC number found
Q49ZR8,['3.2.2.-'],No EC number found,False,False,No EC number found
Q7KR10,['1.14.-.-'],No EC number found,False,False,No EC number found
Q03R52,['5.1.1.3'],No EC number found,False,False,No EC number found
O67074,['2.7.7.7'],No EC number found,False,False,No EC number found
Q4FN15,['5.4.2.10'],No EC number found,False,False,No EC number found
Q59587,['2.5.1.9'],No EC number found,False,False,No EC number found
P39538,['3.4.19.12'],No EC number found,False,False,No EC number found
P0CQ99,['3.6.4.13'],No EC number found,False,False,No EC number found
Q4IMJ1,['3.5.4.2'],No EC number found,False,False,No EC number found
P0CQ45,['3.1.-.-'],No EC number found,False,False,No EC number found
C8VPS9,['6.3.2.-'],6.3.2.-,True,True,6
A8EU81,['2.7.1.130'],No EC number found,False,False,No EC number found
Q72H18,['1.17.7.3'],No EC number found,False,False,No EC number found
Q8RAI8,['6.1.1.21'],No EC number found,False,False,No EC number found
Q72DL8,['5.4.99.12'],No EC number found,False,False,No EC number found
B0G103,['2.3.1.-'],No EC number found,False,False,No EC number found
Q9PIE4,['2.3.1.n3'],No EC number found,False,False,No EC number found
Q743L8,['2.4.1.15'],No EC number found,False,False,No EC number found
Q01172,['4.2.2.10'],No EC number found,False,False,No EC number found
P22412,['3.4.13.19'],No EC number found,False,False,No EC number found
P31749,['2.7.11.1'],No EC number found,False,False,No EC number found
Q8PYS1,['2.5.1.81'],No EC number found,False,False,No EC number found
O13834,['2.3.2.26'],2.3.2.26,True,True,2
Q4IR18,['2.7.1.-'],No EC number found,False,False,No EC number found
O34939,['2.1.1.37'],No EC number found,False,False,No EC number found
Q97U03,['4.2.1.-'],No EC number found,False,False,No EC number found
Q97UL5,['4.1.1.33'],No EC number found,False,False,No EC number found
Q2A406,['4.99.1.1'],No EC number found,False,False,No EC number found
P72235,['5.4.99.16'],No EC number found,False,False,No EC number found
Q9C167,['1.17.4.1'],No EC number found,False,False,No EC number found
A6LLK6,['6.3.5.-'],No EC number found,False,False,No EC number found
A5EXX0,['1.4.3.5'],No EC number found,False,False,No EC number found
H2K887,['4.2.3.152'],No EC number found,False,False,No EC number found
Q0UME8,['3.1.4.37'],No EC number found,False,False,No EC number found
Q9X812,['1.9.3.1'],No EC number found,False,False,No EC number found
Q75TC0,['3.1.11.6'],No EC number found,False,False,No EC number found
Q02075,['1.10.3.2'],No EC number found,False,False,No EC number found
Q180F3,['6.5.1.2'],No EC number found,False,False,No EC number found
O13843,['4.3.2.3'],No EC number found,False,False,No EC number found
P20314,['3.1.21.2'],No EC number found,False,False,No EC number found
P47618,['6.1.1.19'],6.1.1.19,True,True,6
A1RZT9,['3.1.-.-'],3.1.-.-,True,True,3
P08980,['1.10.9.1'],No EC number found,False,False,No EC number found
P57485,['6.3.2.2'],No EC number found,False,False,No EC number found
P54604,['5.4.99.-'],No EC number found,False,False,No EC number found
P53319,['1.1.1.44'],No EC number found,False,False,No EC number found
Q601U7,['5.4.99.25'],No EC number found,False,False,No EC number found
Q04ED7,['5.4.99.25'],5.4.99.25,True,True,5
Q3T0T1,['3.4.25.1'],No EC number found,False,False,No EC number found
O67891,['6.3.2.1'],No EC number found,False,False,No EC number found
Q8TFH7,['4.6.1.16'],4.6.1.16,True,True,4
Q6KIG6,['6.1.1.19'],No EC number found,False,False,No EC number found
Q2N948,['3.1.-.-'],No EC number found,False,False,No EC number found
B4SRY7,['5.3.1.9'],No EC number found,False,False,No EC number found
Q9N5L4,['3.2.1.143'],3.2.1.143,True,True,3
Q5A0L9,['2.4.1.-'],No EC number found,False,False,No EC number found
B8CU29,['2.1.1.223'],No EC number found,False,False,No EC number found
Q9USL5,['3.1.-.-'],No EC number found,False,False,No EC number found
N4WE43,['1.1.1.1'],No EC number found,False,False,No EC number found
Q2RPW9,['3.1.3.18'],No EC number found,False,False,No EC number found
Q9LMX8,['3.1.1.31'],No EC number found,False,False,No EC number found
A0Q706,['4.2.3.4'],No EC number found,False,False,No EC number found
Q9C6C8,['2.5.1.18'],No EC number found,False,False,No EC number found
Q8EK28,['6.3.4.5'],No EC number found,False,False,No EC number found
Q8RDQ0,['2.7.8.13'],No EC number found,False,False,No EC number found
P52575,['1.3.1.45'],No EC number found,False,False,No EC number found
P39315,['1.6.5.2'],No EC number found,False,False,No EC number found
Q57I19,['3.6.3.41'],No EC number found,False,False,No EC number found
A0LIN6,['1.1.1.262'],No EC number found,False,False,No EC number found
O32248,['2.3.1.-'],No EC number found,False,False,No EC number found
A6UWF5,['3.1.1.29'],No EC number found,False,False,No EC number found
Q6Q878,['1.-.-.-'],1.-.-.-,True,True,1
Q96WX8,['3.4.11.9'],No EC number found,False,False,No EC number found
Q86ZF2,['5.2.1.8'],No EC number found,False,False,No EC number found
P18417,['4.3.3.2'],No EC number found,False,False,No EC number found
Q91YE9,['3.1.3.5'],No EC number found,False,False,No EC number found
P9WFB8,['3.1.-.-'],No EC number found,False,False,No EC number found
Q5ATH1,['1.-.-.-'],No EC number found,False,False,No EC number found
E0SPG5,['6.3.4.22'],6.3.4.22,True,True,6
P36957,['2.3.1.61'],No EC number found,False,False,No EC number found
Q4J8L6,['3.6.3.14'],No EC number found,False,False,No EC number found
Q8RH46,['3.4.23.36'],No EC number found,False,False,No EC number found
Q8RY67,['2.7.11.-'],No EC number found,False,False,No EC number found
Q75CI5,['6.3.2.-'],2.3.2.-,False,False,2
Q38X91,['4.2.1.10'],4.2.1.10,True,True,4
O68547,['2.4.-.-'],No EC number found,False,False,No EC number found
O14169,['3.1.4.-'],No EC number found,False,False,No EC number found
P16566,['4.-.-.-'],No EC number found,False,False,No EC number found
Q5FU81,['4.1.1.65'],No EC number found,False,False,No EC number found
P27338,['1.4.3.4'],No EC number found,False,False,No EC number found
Q02001,['4.1.3.27'],No EC number found,False,False,No EC number found
P14002,['3.2.1.21'],No EC number found,False,False,No EC number found
Q9CAK8,['4.6.1.12'],No EC number found,False,False,No EC number found
Q9LE59,['2.4.1.43'],No EC number found,False,False,No EC number found
A3DIE8,['1.2.1.70'],No EC number found,False,False,No EC number found
Q9A6Z1,['2.7.1.33'],No EC number found,False,False,No EC number found
Q695T9,['3.4.21.105'],3.4.21.105,True,True,3
Q9KMV8,['3.1.4.-'],No EC number found,False,False,No EC number found
Q972G5,['3.4.21.-'],No EC number found,False,False,No EC number found
O28440,['1.4.1.21'],1.4.1.21,True,True,1
Q1GBP7,['2.7.8.7'],No EC number found,False,False,No EC number found
O58441,['6.1.1.11'],No EC number found,False,False,No EC number found
Q8TWG2,['2.7.7.67'],No EC number found,False,False,No EC number found
P27172,['2.7.7.7'],No EC number found,False,False,No EC number found
Q3INV7,['3.1.3.5'],No EC number found,False,False,No EC number found
O25972,['2.1.1.182'],No EC number found,False,False,No EC number found
Q04ED7,['5.4.99.25'],5.4.99.25,True,True,5
Q54L40,['6.3.2.-'],No EC number found,False,False,No EC number found
Q8RSU9,['5.1.1.1'],No EC number found,False,False,No EC number found
B9KG20,['2.1.3.-'],No EC number found,False,False,No EC number found
P72667,['2.1.1.193'],No EC number found,False,False,No EC number found
P17576,['3.4.23.29'],No EC number found,False,False,No EC number found
Q05523,['3.4.16.4'],No EC number found,False,False,No EC number found
A1CQC3,['3.2.1.55'],No EC number found,False,False,No EC number found
P70665,['3.1.1.53'],No EC number found,False,False,No EC number found
Q6LWL8,['1.2.99.5'],No EC number found,False,False,No EC number found
Q215D9,['4.2.1.59'],No EC number found,False,False,No EC number found
P32747,['1.3.5.2'],No EC number found,False,False,No EC number found
B2A8M8,['2.8.1.4'],No EC number found,False,False,No EC number found
A7I6S5,['5.3.1.6'],No EC number found,False,False,No EC number found
Q12452,['1.1.1.270'],No EC number found,False,False,No EC number found
A4IRY3,['6.1.1.4'],No EC number found,False,False,No EC number found
Q3SLY4,['4.2.3.4'],No EC number found,False,False,No EC number found
P72667,['2.1.1.193'],No EC number found,False,False,No EC number found
O25961,['2.5.1.75'],No EC number found,False,False,No EC number found
Q6CDL9,['3.6.1.9'],No EC number found,False,False,No EC number found
P15292,['3.4.21.96'],No EC number found,False,False,No EC number found
B8CU29,['2.1.1.223'],No EC number found,False,False,No EC number found
D6XZ22,['2.4.1.332'],No EC number found,False,False,No EC number found
Q97YX6,['3.1.22.4'],No EC number found,False,False,No EC number found
A1U6P4,['4.1.3.40'],No EC number found,False,False,No EC number found
Q8X444,['3.2.2.27'],No EC number found,False,False,No EC number found
Q84RQ9,['2.3.2.-'],No EC number found,False,False,No EC number found
Q54FR9,['2.7.11.1'],No EC number found,False,False,No EC number found
Q2S3D8,['4.6.1.17'],No EC number found,False,False,No EC number found
Q8L208,['4.1.1.5'],No EC number found,False,False,No EC number found
A7IQE5,['5.4.99.-'],No EC number found,False,False,No EC number found
Q9X895,['6.1.1.6'],No EC number found,False,False,No EC number found
P55262,['2.7.1.20'],No EC number found,False,False,No EC number found
Q7NCI5,['2.7.1.33'],2.7.1.33,True,True,2
B2HDP8,['3.1.3.12'],No EC number found,False,False,No EC number found
P00437,['1.13.11.3'],No EC number found,False,False,No EC number found
Q189A4,['3.1.21.2'],No EC number found,False,False,No EC number found
Q97GL0,['6.1.1.20'],No EC number found,False,False,No EC number found
G5EBI4,['3.3.2.10'],No EC number found,False,False,No EC number found
Q9FW03,['3.1.1.-'],No EC number found,False,False,No EC number found
Q8A8L4,['2.6.1.52'],No EC number found,False,False,No EC number found
O32037,['6.1.-.-'],No EC number found,False,False,No EC number found
C0M8Y3,['3.1.26.3'],No EC number found,False,False,No EC number found
Q54WX4,['2.7.11.1'],No EC number found,False,False,No EC number found
Q9Z8C5,['6.3.2.13'],No EC number found,False,False,No EC number found
A1AU59,['1.3.1.98'],No EC number found,False,False,No EC number found
Q31E43,['2.1.1.242'],No EC number found,False,False,No EC number found
Q9FG74,['2.7.11.1'],No EC number found,False,False,No EC number found
P23466,['4.6.1.1'],No EC number found,False,False,No EC number found
B6F0W8,['1.13.11.29'],No EC number found,False,False,No EC number found
A0R611,['2.4.2.46'],No EC number found,False,False,No EC number found
O34651,['1.1.1.23'],No EC number found,False,False,No EC number found
Q38802,['5.5.1.13'],No EC number found,False,False,No EC number found
Q6D257,['2.1.1.200'],No EC number found,False,False,No EC number found
Q8ESJ1,['2.7.1.50'],No EC number found,False,False,No EC number found
A0QPD4,['2.4.2.47'],No EC number found,False,False,No EC number found
O51127,['5.1.1.3'],No EC number found,False,False,No EC number found
Q9AGJ6,['4.1.1.32'],No EC number found,False,False,No EC number found
P57311,['2.4.1.227'],No EC number found,False,False,No EC number found
O13492,['6.3.2.17'],No EC number found,False,False,No EC number found
Q9LJK2,['1.14.13.93'],No EC number found,False,False,No EC number found
Q6A5D0,['5.3.1.12'],No EC number found,False,False,No EC number found
P14137,['1.14.15.6'],No EC number found,False,False,No EC number found
Q54FJ9,['4.2.1.93'],No EC number found,False,False,No EC number found
Q5BCC5,['4.2.1.1'],No EC number found,False,False,No EC number found
Q2LY16,['3.6.3.-'],No EC number found,False,False,No EC number found
Q0TU06,['2.1.1.33'],No EC number found,False,False,No EC number found
Q8R9W3,['3.1.26.3'],No EC number found,False,False,No EC number found
Q6C8M8,['2.4.1.173'],No EC number found,False,False,No EC number found
P41713,['2.4.1.-'],No EC number found,False,False,No EC number found
A1L1C2,['3.1.-.-'],No EC number found,False,False,No EC number found
Q6C3K2,['2.4.1.142'],No EC number found,False,False,No EC number found
P50840,['2.1.1.-'],No EC number found,False,False,No EC number found
C1CWB4,['4.3.1.3'],No EC number found,False,False,No EC number found
Q9UPP1,['1.14.11.27'],No EC number found,False,False,No EC number found
Q9XID3,['2.7.11.1'],No EC number found,False,False,No EC number found
Q9GQM9,['1.14.-.-'],No EC number found,False,False,No EC number found
Q2I8V6,['1.1.1.292'],No EC number found,False,False,No EC number found
Q9SU92,['3.1.3.100'],No EC number found,False,False,No EC number found
Q6L1J7,['3.5.4.25'],No EC number found,False,False,No EC number found
Q5FPE5,['1.1.1.119'],No EC number found,False,False,No EC number found
Q5UYV3,['2.4.2.-'],No EC number found,False,False,No EC number found
P56456,['6.1.1.5'],No EC number found,False,False,No EC number found
